,Company,Rating,Reviews,company_type,salary,Interview_count,Jobs_available,highly_rated_for,critically_rated_for
796,Ocwen Financial Solutions,4.0k,1.1k,"Financial Services - Bangalore , Bengaluru +8 other locations",4.6k,50,34,"Company Culture, Work Life Balance",Promotions / Appraisal
797,SKF,4.0k,1.1k,Auto Components - Pune +66 other locations,4.2k,68,47,"Company Culture, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Job Security"
798,OpenText Technologies,3.6k,1.1k,"Software Product - Bangalore , Bengaluru +12 other locations",10k,176,7,Work Life Balance,"Promotions / Appraisal, Job Security, Work Satisfaction"
799,JSW Cement,4.1k,1.1k,Building Material - Mumbai +125 other locations,3.9k,110,--,"Job Security, Company Culture, Salary & Benefits",Promotions / Appraisal
800,Punjab National Bank,4.0k,1.1k,Banking - New Delhi +199 other locations,2.7k,41,--,"Job Security, Salary & Benefits",N/A
801,Incedo,3.1k,1.1k,"IT Services & Consulting - Gurgaon , Gurugram +12 other locations",8.8k,193,36,N/A,"Promotions / Appraisal, Work Satisfaction, Job Security"
802,Sunknowledge Services,3.7k,1.1k,BPO - Kolkata +13 other locations,3.1k,86,5,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture"
803,Vestas,4.3k,1.1k,Power - Chennai +46 other locations,4.9k,91,17,"Company Culture, Work Life Balance, Skill Development / Learning",N/A
804,MedPlus,3.6k,1.1k,"Retail - Hyderabad , Secunderabad +110 other locations",3.7k,88,41,N/A,"Promotions / Appraisal, Salary & Benefits, Company Culture"
805,Baroda Global Shared Services,4.0k,1.1k,Analytics & KPO - Gandhinagar +167 other locations,2.6k,102,13,"Work Life Balance, Company Culture, Work Satisfaction",N/A
806,Hatsun Agro Product,3.9k,1.1k,Food Processing - Chennai +120 other locations,4.2k,70,14,Skill Development / Learning,"Job Security, Promotions / Appraisal"
807,Mondelez International,4.2k,1.1k,Food Processing - Mumbai +169 other locations,4.2k,64,45,"Salary & Benefits, Company Culture, Work Life Balance",N/A
808,Decathlon,3.8k,1.1k,"Retail - Bangalore , Bengaluru +65 other locations",3.6k,111,1,"Skill Development / Learning, Company Culture, Job Security","Promotions / Appraisal, Work Life Balance, Salary & Benefits"
